ID,Name,First name,Altname,Altname,Altname,Gender,Nationality/Ethnicity,Religion,Relations,Qualifier,Qualifier,Time,Place,Texts related (lookup),MSS related (lookup)
PRS1001AbbaTam,Abba Tämsas,,,,,m,Christian Ethiopia,EOTC,,azzaž ,,,,,
PRS1002Aaron,Aaron,,,,,m,,Judaism,,Prophet,,,,,
PRS1003AbabaKe,Abäba Kǝflä Ǝgziʾ,,,,,f,Christian Ethiopia,EOTC,, wäyz,,,,,
PRS1004AbabaTa,Abäba Täsfa Giyorgis,,,,,m,Christian Ethiopia,EOTC,, wr,,,,,
PRS1005Abadir,Abadir,,,,,m,Coptic Egypt,Coptic Church,, St,,,,,
PRS1006Abadir,Abādir ʿUmar ar-Riḍā,,,,,m,Harar,Islam,, āw,,,,,
PRS1007Abagaz,Abägaz,,,,,m,Christian Ethiopia,EOTC,, abet,,,,,
PRS1008Abakaraz,Abäkäräzun,,Abäkǝräzun,,,m,Christian Ethiopia,EOTC,, abba,,,Däbrä Gärzän,,
PRS1009Abakaraz,Abäkäräzun,,Abäkǝräzun,,,m,Christian Ethiopia,EOTC,, abba,,,Däbrä Qäʿat,,
PRS1010AbalaKr,Abalä Krǝstos,,,,,m,Christian Ethiopia,EOTC,, abba,,,,,
PRS1011AbalaMa,Abalä Maryam,,,,,f,Christian Ethiopia,EOTC,, wayz.,,,,,
PRS1012Abalez,Abälǝz,,,,,m,Christian Ethiopia,EOTC,,translator,,,,,
PRS1013Abalfara,Abälfäräg,,,,,m,Christian Ethiopia,EOTC,,translator,,,,,
PRS1014Abargues,Abargues de Sostén, Juan Víctor, ,,,m,Spain,Catholic,,trav,,,,,
PRS1015Abarra,Abärra, ,,,,m,Christian Ethiopia,EOTC,,lǝǧ rēdanto,,,,,
PRS1016AbarraG,Abärra Gǝzaw , ,Abba Sǝbär,,,m,Christian Ethiopia,EOTC,,däǧǧ,,,,,
PRS1017AbarraK,Abärra Kaśa Ḫaylu, ,,,,m,Christian Ethiopia,EOTC,,däǧǧ. ,,d. 1911,,,
PRS1018AbarraK,Abärra Kaśa Ḫaylu, ,,,,m,Christian Ethiopia,EOTC,,däǧǧ. ,,d. 1936,,,
PRS1019AbarraT,Abärra Tädla,,,,,m,Christian Ethiopia,EOTC,, däǧǧ,,,,,
PRS1020AbarraT,Abärra Täklä Giyorgis,,,,,m,Christian Ethiopia,EOTC,, ras,,,,,
PRS1021Abarraa,Abarraa Nafaa,,,,,m,Ethiopia,Protestant,, sch. ,,,,,
PRS1022Abarras,Abärräš Sämhate,,,,,f,Christian Ethiopia,EOTC, wife Mammo Wälde,,,,,,
PRS1023Abarras,Abärräš Täddil,,,,,f,Christian Ethiopia,EOTC, mother-in-law Mikaʾel Arägawi,,,,,,
PRS1024AbataBw,Abatä Bwayaläw ,,Abba Yǝträf,,,m,Christian Ethiopia,EOTC,, ras,,,,,
