ID,Place,Place,Place,Coordinates,Type,Region,Texts related (lookup),MSS related (lookup)
LOC1001Aallee,Aallee,,,,wär.,,,
LOC1002Aari,Aari,,,,reg.,,,
LOC1003AbAle,Ab ʿAle,,,,settl.,,,
LOC1004Aba,Abʿa,,,,arch. site,,,
LOC1005Abadir,Abādir ʿUmar ar-Riḍā,,,,shrine,,,
LOC1006Abagas,Abagasse,,,,pl.n.,,,
LOC1007Abara,Abära,,,,town,,,
LOC1008Abarga,Abärgälle,Abärgälla,,,reg,,,
LOC1009Abarra,Abärra,,,,pl.n.,,,
LOC1010Abasge,Abäšge,,,,wär,,,
LOC1011Abaza,Abʾaza,,,,town,,,
LOC1012AbbaCa,Abba Čakat,,,,arch. site,,,
LOC1013AbbaKo,Abba Koran,,,,pl.n.,,,
LOC1014AbbaLi,Abba Liqanos,,,,mon.,,,
LOC1015AbbaMa,Abba Mäṭaʿ,,,,church,,,
LOC1016BoruMe,Boru Meda Abärra Śǝllase,,,,church,,,
LOC1017AbbaNa,Abba Nazä,,,,lake,,,
LOC1018AbbaSa,Abba Šawl,,,,area,,,
LOC1019AbbaNo,Abba Nob,,,,church,,,
LOC1020AbbaYo,Abba Yoḥanni,,,,church,,,
LOC1021AbbaaM,Abbaa Maalo,,,,pl.n.,,,
LOC1022Abbay,Abbay,Blue Nile,,,riv.,,,
LOC1023AbbayD,Abbay-Dinder,,,,reg.,,,
LOC1024Abbayy,Abbayya,Margherita,Gidiččo,,lake,,,
LOC1025Abbe,Abbe,,,,lake,,,
LOC1026AbbeBe,Abbe Bet,,,,reg.,,,
LOC1027Abbuye,Abbuye Meda,,,,mt.,,,
LOC1028Abdalq,ʿAbdälqadǝr,ʿAbdalqādir,,,peninsula,,,
LOC1029Abdalq,ʿAbdalqādir al-Ǧīlānī,,,,mosque,Asmära,,
LOC1030Abdalq,ʿAbdalqādir al-Ǧīlānī,,,,mosque,Bale,,
LOC1031Abdalq,ʿAbdalqādir al-Ǧīlānī,,,,mosque,Massawa,,
LOC1032Abdarr,ʿAbdärrafi,,,,pl.n.,,,
LOC1033Abdass,ʿAbdaššakūr b. Yūsuf,,,,mosque,,,
LOC1034AbdulR,Abdul Räsul,Abdul Naser,,,town,,,
LOC1035Abdull,ʿAbdullāhi b. Muḥammad,,,,mosque,,,
LOC1036Abdur,ʿAbdur,,,,arch. site,,,
LOC1037Abgana,Abganana,,,,pl.n.,,,
LOC1038Abhe,Abhe,,,,lake,,,
LOC1039AbiyAd,ʿAbiy ʿAddi,,,,town,,,
LOC1040AbiyAd,ʿAbiy ʿAddi Mikaʾel,,,,church,,,
LOC1041AbiyWa,ʿAbiy Wägr,,,,pl.n.,,,
LOC1042AboGiy,Abo Giyorgis,,,,church,,,
LOC1043Abobo,Abobo,,,,pl.n.,,,
LOC1044Abora,Abora,,,,pl.n.,,,
LOC1045AbraNa,Abra Näddäd,,,,pl.n.,,,
LOC1046Abracc,Abraččočč,,,,mt.,,,
LOC1047Abramo,Abramo,,,,pl.n.,,,
LOC1048Abrant,Abräntant[i],,,,pl.n.,,,
LOC1049Abret,Abret,Abrät,,,pl.n.,,,
LOC1050Abrome,Abromela,,,,pl.n.,,,
