ID,Title,alternative form,alternative form,alternative form,Type,persons (lookup)
TIT2001abamen,abä mǝnet,,,,title,
TIT2002abagaz,abägaz,,,,title,
TIT2003abba,abba,,,,title,
TIT2004abbaga,abba gar,,,,title,
TIT2005abbaa,abbaa,,,,title,
TIT2006abbaab,abbaa biyyaa,,,,title,
TIT2007abbaab,abbaa bokkuu,,,,title,
TIT2008abbaad,abbaa dulaa,,,,title,
TIT2009abbaae,abbaa eella,,,,title,
TIT2010abbaaf,abbaa fuño,,,,title,
TIT2011abbaaf,abbaa fuguug,,,,title,
TIT2012abbaag,abbaa gaba,,,,title,
TIT2013abbaag,abbaa gadaa,,,,title,
TIT2014abbaag,abbaa gandaa,,,,title,
TIT2015abbaak,abbaa kella,,,,title,
TIT2016abbaal,abbaa lafa,,,,title,
TIT2017abbaal,abbaa looni,,,,title,
TIT2018abbaam,abbaa mizan,,,,title,
TIT2019abbaam,abbaa muudaa,,,,title,
TIT2020abbaaq,abbaa qorro,,,,title,
TIT2021abbaas,abbaa seera,,,,title,
TIT2022abbas,abbas,,,,title,
TIT2023abbata,abbataččǝn,,,,title,
TIT2024abbate,abbate,,,,title,
TIT2025abeto,abeto,,,,title,
TIT2026abetoh,abetohun,,,,title,
TIT2027abun,abun,abunä,,,title,
TIT2028abunaq,abunä qäsis,,,,office,
TIT2029aggafa,aggafari,,,,title,
TIT2030adgoga,adgo gärad,,,,title,
TIT2031afaaqq,afä ʿaqqabe säʿat,,,,title,
TIT2032afagub,afä gubaʾe,,,,title,
TIT2033afaliq,afä liq,,,,title,
TIT2034afamam,afä mämhǝr,,,,title,
TIT2035afaneb,afä nǝburä ǝd,,,,title,
TIT2036afaneg,afä nǝguś,,,,title,
TIT2037afaqes,afä qesar,,,,title,
TIT2038aftalg,aftal-garād,,,,title,
TIT2039aratay,arat ʿayna,,,,title,
TIT2040algana,alga näqännäqä,,,,title,
TIT2041algata,alga ṭäbbaqi,,,,title,
TIT2042algawa,alga wäraš,crown prince,,,title,
TIT2043alim,ʿālim,,,,title,
TIT2044aqasen,ʿaqaṣen,ʿaqqabe ṣänṣän,aqanṣän,ʿaqaṣǝna,title,
TIT2045aqayta,ʿaqäytat,,,,title,
TIT2046aqetza,aqetzär,,,,mil.,
TIT2047aqqabe,ʿaqqabe ḥǝgg zawǝʾǝtu ṣäḥafe Aksum,,,,title,
TIT2048aqqabe,ʿaqqabe mäṣaḥǝft,,,,title,
TIT2049aqqabe,ʿaqqabe säʿat,,,,title,
TIT2050aqqabe,ʿaqqabe säʿatä [zäbetä] Mäṭaʿ,,,,title,
TIT2051aqqabe,ʿaqqabe ṣǝnṣǝnya,,,,title,
TIT2052aqqabe,ʿaqqabe śǝray,,,,title,
TIT2053asaeno,aśaʿǝno,,,,title,
TIT2054ato,ato,,,,address form,
TIT2055asaweh,aṣawe ḫoḫǝt,,,,title,
TIT2056asenga,ašen gärad,,,,title,
TIT2057ase,aṣe,,,,title,
TIT2058assera,assǝr aläqa,,,,rank,
TIT2059awrai,awraʿī,ʾwrʿy,,,title,
TIT2060baabi,baabi,,,,office,
TIT2061azzaZ,azzaž,,,,title,
TIT2062baalda,bäʿal däräba,bäʿaldäräba,baldäräba,,office,
TIT2063baalad,bäʿalä diho ǝras,,,,title,
TIT2064baalah,bäʿalä ḥambal ras,,,,title,
TIT2065baalah,bä ʿalä ḥǝgg,,,,title,
TIT2066bacala,bäcalä mäṣḥaf,,,,title,
TIT2067baalan,bäʿalä naʿle,,,,title,
TIT2068baalta,bäʿaltä ḥašeḥna,,,,title,
TIT2069baalti,bäʿaltiḥat,baltiḥat,bäʿaltä biḥat,,title,
TIT2070babi,bábi,,,,title,
TIT2071baddah,baddá-h ábba,,,,title,
TIT2072bassa,bašša,bāšā,,,mil.,
TIT2073bagmal,bäg mälkäñña,,,,off.,
TIT2074bagemd,bägemdǝr azmač,,,,off.,
TIT2075bagero,bäǧǝrond,,,,off.,
TIT2076bahern,baḥǝr nägaš,baḥri nägaśi,baḥrägasi,nǝguśä baḥǝr,title,
TIT2077balamb,balambaras,amba ras,,barambaras,title,
TIT2078balamw,balämwal,,,,epithet,
TIT2079balaal,balä alga,,,,title,
