signature, title, work, edition/literature, record
    UM-001,Zena nägäromu lä-śǝllase “Story of the Trinity” / Täʾamrihomu lä-ʾab wä-wäld wä-mänfäs qǝddus “Miracles of the Father and the Son and the Holy Spirit”,,,
            ,,Zena Śǝllase / The Story of the Trinity,,
AM-040,Bǝsratä Yoḥannǝs “Gospel of John”,,,
            ,,I. Bǝsratä Yoḥannǝs “Gospel of John”,,
AM-002,Sinodos Senodos,,,
            ,,I. Sinodos,,
,,,edition,A. BAUSI Il Senodos etiopico canoni pseudoapostolici: Canoni dopo l´Ascensione Canoni di Simone Cananeo Canoni Apostolici Lettera di Pietro Lovanii 1995 (CSCO 553; SAe 102) 36-50.
                    ,,,edition,A. BAUSI “La versione etiopica della Didascalia dei 318 niceni sulla retta fede e la vita monastic” in: U. Zanetti - E. Lucchesi (eds.) Aegyptus Christiana Mélanges d´hagiographie égyptienne et orientale dédiés à la mémoire du P. Paul Devos bollandiste Genève 2004 225-248.
                    ,,,edition,A. BAUSI “L´Epistola 70 di Cipriano di Cartagine in versione etiopica” Aethiopica 1 1998 101-130.
                    ,,,edition,G. HORNER The Statutes of the Apostles or Canones Ecclesiastici London 1904 1-78 (text) 127-227 (trans.);
                    ,,,edition,H. LUDOLF Commentarius ad Historiam Aethiopicam Frankfurt 1681 314-328 (Commandments 1-23).
                    ,,,edition,I. GUIDI “Il canone biblico della Chiesa Copta” Revue Biblique 10 1901 170-172 (canon n°80);
                    ,,,edition,L. GUERRIER - S. GREBAUT “Les canons du concile de Gangresˮ ROC 3 [23] 1922-23 303-313.
                    ,,,edition,L. GUERRIER “Canons pénitentiels” ROC 21 1918-19 5-24 345-355.
                    ,,,edition,P. MAURO DA LEONESSA “La versione etiopica dei canoni apocrifi del concilio di nicea second I codici vaticani ed il fiorentino” RSE 2 1942 29-89.
                    ,,,edition,A. BAUSI Il Senodos etiopico canoni pseudoapostolici: Canoni dopo l´Ascensione Canoni di Simone Cananeo Canoni Apostolici Lettera di Pietro Lovanii 1995 (CSCO 552; SAe 101) 72-115.
                    ,,,literature,A. BAUSI “Alcune considerazioni sul Senodos etiopico” RSE 34 1990 5-73;
                    ,,,literature,EAE IV “Senodos”;
                    ,,,literature,G. FIACCADORI “Bisanzio e il regno di Aksum sul manoscritto Martini etiop. 5 della Biblioteca Forteguerriana di Pistoia” Bollettino del Museo Bodoniano di Parma 7 1993 161-189.
                    ,,,literature,EAE III “Law: Canon law”;
                    AM-003,Täʾamrä Maryam Miracles of Mary / Täʾamrä ʾIyäsus Miracles of Jesus,,,
            ,,I. Täʾamrä Maryam Miracles of Mary,,
,,,edition,E.A.W. BUDGE One Hundred and Ten Miracles of Our Lady Mary London 1923.
                    ,,,edition,G. COLIN Le livre éthiopien des miracles de Marie Paris 2004;
