INS00001BL, British Library
            INS0002AAI, 
            INS0005Gund, 
            INS0007AM, ʾAsir Mätira
            INS00100MadhaneAlam, Madḫane ʿĀlam
            INS0017UM, ʿUra Qirqos
            INS0030AP, ʿAddäqaḥarsi Ṗäraqliṭos
            INS0034DZ, Däbrä Zäyt Qәddәst Maryam
            INS0039MY, Däbrä Maʿṣo Qәddus Yoḥannәs
            INS0042MR, Mәdrä Ruba Sәllase
            INS0049QSM, Qärsäbär Qәddus Mikaʾel
            INS0050MSM, 
            INS0053SM, Säbäya Maryam
            INS0054SMM, Sämaz Maryam
            INS0062MG, Mätiʿ Gäbrәʾel
            INS0064AMM, ʿAddigrat Mädḫane ʿAläm
            INS0065AMQ, ʿAddigrat Däbrä Mänkәrat Qәddus Qirqos
            INS0069EM, ʿƎč Maʿre Gäbrä Mänfäs Qǝddus
            INS0071FBM, Fäqada Maryam
            INS0078ETH, ʿƎmbäyto Täklä Haymanot
            INS0082UMQ, ʿUra Mäsqäl
            INS0091AQM, ʾAgärhǝse ʾAbunä Mamas
            INS0093AGM, ʾAgamyo Qǝddus Mikaʾel
            INS0095ATH, ʾAraʿro Täklä Haymanot
            INS0097AQG, ʿAddi Qolqwal Giyorgis
            INS0099DMA, ʾAḥzära  Maryam
            INS0100DAY, Dǝrba Däbrä ʾAbunä Yasay 
            INS0103AKM, ʾAmbäsät Kidanä Mǝḥrät 
            INS0105DD, Däbrä Dammo ʾAbunä ʾArägawi
            INS0107BMA, ʿAddigrat Bet Marya
            INS0108GKM, Mäḵodʿä Däbrä Gännät Kidanä Mǝḥrät 
            INS0110QDS, Qiʿat Däbrä Ṣǝyon Qǝddǝst Maryam
            INS0111SSB, Bet Ḥawaryat
            INS0113NSM, Nәḥbi Qәddus Mikaʾel
            INS0115GMG, Gänaḥti Qәddәst Maryam
            INS0117GBI, Gwaḥgot ʾIyäsus
            INS0119MQM, Däbrä Mäʿar Qәddәst Maryam
            INS0121MAC, Ḉähat Mädḫane ʿAläm
            INS0123MKL, Läqay Kidanä Mәḥrät
            INS0125GMS, Siʿet Qәddәst Maryam
            INS0127GNA, Gäbrä Nazrawi ʾAgäzna
            INS0129DMD, Dǝbla Yoḥannǝs Mäṭmǝq
            INS0131DMB, Bäʿatti Qәddus Mikaʾel 
            INS0133QMB, Bäläsa Qǝddus Mikaʾel 
            INS0135MMA, 
            INS0137KTM, Kädiḥ Däbrä Täwaḥәdo Qәddәst Maryam
            INS0141MM, 
            INS0144MHG, Ḥarennät Gäbäzäyti Qǝddǝst Maryam
            INS0145MA, ʾAndel Qǝddǝst Maryam
            INS0147MCM, May Ḉäw Mikaʾel
            INS0148RQM, Romanat Qǝddus Mikaʾel
            INS0152Šägw, 
            INS0155Kwäʿ, 
            INS0157DDM, Dändera Däbrä Mәḥrät Mikaʾel
            INS0159QQM, ʿAddi Qiyaḥto Qǝddǝst Maryam
            INS0161BGY, 
            INS0163BQM, Maryam May ʾAbʾa
            INS0165DSM, Däbrä Sahәl Qәddus Mikaʾel Bet Mäḵaʿ
            INS0167GḤ, Ḥawaṣi Gäbrәʾel 
            INS0169GMBM, 
            INS0171KY, Koholo Yoḥannǝs Däbrä Betel
            INS0174MAKM, May ʾAnbäsa Däbrä Gännät Kidanä Mǝḥrät
            INS0175QMA, ʾAbrǝqo Maryam
            INS0177SDM, Soṭa Däbrä Sälam Qǝddus Mikaʾel
            INS0178QMM, Märgaḥәya Qәddus Mikaʾel
            INS0179TRM, Taḥtay Ruba Maryam
            INS0181SDSM, Säwnä Maryam
            INS0183QM, Qǝta Maryam
            INS0185SGM, Sǝddäyto Däbrä Gännät Mikaʾel
            INS0186QDQ, Qändaʿro Qǝddus Qirqos
            INS0192QGM, Mänäwät Qǝddus Giyorgis
            INS0194THMR, May Raza Täklä Haymanot
            INS0196WQ, Wälwalo Däbrä Bǝrhan Qirqos
            INS0198QS, Qälaqǝl Maryam Ṣǝyon
            INS0200HMM, Ḥangoda Däbrä Mǝḥrät Qǝddus Mikaʾel
            INS0204SDGM, Ṣäbäla Däbrä Gännät Maryam
            INS0206MSAE, May Ṣäʿada Śǝllase
            INS0208BMQM, Bet Muḵaʿ Mikaʾel
            INS0210SFM, Sänqaṭa Fǝrewäyni Maryam
            INS0211SQMM, Säglat Qǝddus Mikaʾel
            INS0212EHPP, ʾƎnda Ḥawaryat Ṗeṭros wä-Ṗawlos
            INS0214ʿAd, 
            INS0216MGM, Mǝʾǝsar Gwǝḥila Qǝddus Mikaʾel
            INS0219EMQ, ʾƎnda Maryam Qorrar
            INS0221QDGM, Qäqäma Däbrä Gännät Qǝddǝst Maryam 
            INS0223AMMG, ʾAlʿasa Qǝddus Mikaʾel
            INS0225AMS, ʿAräbay Qǝddus Mikaʾel
            INS0227MBAE, May Bäʿatti Däbrä Gännät ʾArbaʿtu ʾƎnsǝsa
            INS0230TNY, Tägoga Däbrä Nazret Qǝddus Yoḥannǝs
            INS0232TKMG, Tänsǝḥe Kidanä Mǝḥrät
            INS0234KAE, Kunale ʾArbaʿtu ʾƎnsǝsa
            INS0236AGKM, ʾAgulaʿ Getesemani Kidanä Mǝḥrät
            INS0237MKMG, Mäkaʿәlo Mäkanä Lǝʿul
            INS0239ʿAdd, 
            INS0242ZEA, Zala ʾƎnda ʾAmanuʾel
