ESadmy002, Mälkǝʿa gubaʾe, Collection of Images
            ESagm001, Mäṣḥafä gǝnzät “Book of the Funeral Ritual”
            ESagm002, Dawit “Psalter”
            ESagm003, ʾArbaˤtu wängel “Four Gospels”
            ESagm004, Täʾamrä Maryam "Miracles of Mary" / Täʾamrä Mikaʾel "Miracles of Michael" / Täʾamrä Gäbrä Mänfäs Qǝddus "Miracles of Gäbrä Mänfäs Qǝddus" / Täʾamrä ʾIyäsus "Miracles of Jesus"
            ESagm005, Gädlä ʾƎsṭifanos zä-Gunda Gunde “Vita of ʾƎsṭifanos of Gunda Gunde” / Mälkǝʾa ʾƎsṭifanos zä-Gunda Gunde “Image of ʾƎsṭifanos of Gunda Gunde”
            ESagm006, Mäftәḥe śәray “Undoing of Charms”
            ESagm007, Dawit “Psalter”
            ESagm008, Dawit “Psalter”
            ESagm009, Mäṣḥafä nәfq “Book of the Assistant Priest” / Ṣalotä ʿәṭan “Prayer of Incense” / Bәsratä Luqas “Gospel of Luke”
            ESagm010, Mäṣḥafä ʾardǝʾǝt “Book of the Disciples” / Ṣälotä śǝryätä ḫaṭiʾat “Prayer of Absolution of Sins” / Ṣälot zä-ʾǝgzǝʾtǝnä Maryam bä-Däbrä Golgota, Prayer of Our Lady Mary on Mount Golgotha on the 21st of Säne / Tǝmhǝrtä ḫǝbuʾat “Teaching of Mysteries” / ʾƎgziʾabǝḥer zä-bǝrhanat ʾǝgziʾabǝḥer zä-śǝlṭanat... “God of Lights, God of Powers...”
            ESakm001, ʾArbaˤtu wängel “Four Gospels”
            ESakm002, Mäṣḥafä qǝddase “Missal”
            ESakm003, Gädlä Gäbrä Mänfäs Qәddus “Vita of Gäbrä Mänfäs Qәddus” / Täʾamrä Gäbrä Mänfäs Qǝddus “Miracles of Gäbrä Mänfäs Qǝddus”
            ESakm004, Täʾamrä Libanos “Miracles of Libanos” / Gädlä Libanos “Vita of Libanos”  / Täʾamrä Libanos “Miracles of Libanos” / ʾArganonä wǝddase “The Harp of Praise”
            ESakm005, Mäṣḥafä krәstәnna “Book of the Christening”
            ESakm006, Mäṣḥafä gәbrä ḥǝmamat “Book of the Rite of the Holy Week”
            ESakm007, Mäṣḥafä täklil “Book of the Marriage Ritual” / Mäṣḥafä qedär “Book of the Jar”
            ESakm008, Mäṣḥafä gǝnzät “Book of the Funeral Ritual”
            ESakm009, Mäṣḥafä qǝddase “Missal”
            ESakm010, Zenaha lä-ʾǝgzǝʾtǝnä Maryam “Story of Our Lady Mary” / Dǝrsanä ʿUraʾel “Homily of Uriel”
            ESakm011, Mäṣḥafä ʾaślәṭi, Lectionary for the entire year / Mälkǝʾa fәlsätä “Image of Her Assumption”
            ESakm012, Dǝrsanä kidanä mǝḥrät “Homily for the Covenant of Mercy” / Miracles of kidanä mǝḥrät in the land of Ethiopia / Mälkǝʾa kidanä mǝḥrät “Image of the Covenant of Mercy”
            ESakm015, Dawit “Psalter” / Historiographic note on the Tablets of Law and on ʾAksum / Ṣälotä nädära, ʾAsmat-prayer against a disease called nädära and against an evil eye
            ESakm016, Täʾamrä Maryam "Miracles of Mary" / Täʾamrä ʾIyäsus "Miracles of Jesus"
            ESakm017, Gädlä Gäbrä Mänfäs Qǝddus “Vita of Gäbrä Mänfäs Qǝddus” / Täʾamrä Gäbrä Mänfäs Qǝddus “Miracles of Gäbrä Mänfäs Qǝddus” / Mälkǝʾa Gäbrä Mänfäs Qǝddus “Image of Gäbrä Mänfäs Qǝddus”
            ESakm018, Mäṣḥafä ʾardǝʾǝt “Book of the Disciples” / Tǝmhǝrtä ḫǝbuʾat “Teaching of Mysteries” / Excerpt from Kidan zä-nägh “Covenant of the Morning” / Anaphora of Our Lady by St. Cyriacus of Behnesa / Excerpt from Wǝddase Maryam “Praise of Mary” (?)
            ESakm020, Anaphora of Our Lady by St. Cyriacus of Behnesa / Täʾamrä Maryam "Miracles of Mary"
            ESakm021, Mälkǝʾa Maryam “Image of Mary” / Mälkǝʾa Iyäsus “Image of Jesus”
            ESakm022, Mäftәḥe śәray "Undoing of Charms" / Gǝrma mogäs, ʾAsmat-prayer for acquiring charisma / Directives for reading the sacred books / Mälkǝʾa Fanuʾel “Image of Fanuʾel”
            ESam002, Sinodos "Senodos"
            ESam003, Täʾamrä Maryam "Miracles of Mary" / Täʾamrä ʾIyäsus "Miracles of Jesus"
            ESam004, Dǝrsanä Mikaʾel, Homiliary for the feasts of St. Michael / Mälkǝʾa Mikaʾel “Image of Michael”
            ESam007, Mäṣḥafä qǝddase "Missal"
            ESam012, Śǝrʿatä mǝnkwǝsǝnna “The Order of the Monastic Profession”
            ESam015, Fragments of three various manuscripts
            ESam040, Bǝsratä Yoḥannǝs “Gospel of John”
            ESamm001, ʾArbaʿtu wängel “Four Gospels”
            ESamm002, Dawit “Psalter”
            ESamm003, Mäṣḥafä qǝddase “Missal”
            ESamm004, Mäṣḥafä gǝnzät “Book of the Funeral Ritual”
            ESamm005, Täʾamrä ʾIyäsus “Miracles of Jesus”
            ESamm006, Täʾamrä ʾIyäsus “Miracles of Jesus”
            ESamm007, Täʾamrä Maryam “Miracles of Mary”
            ESamm008, Sǝnkǝssar “Synaxarion” (the second half of the year)
            ESamm009, Dawit "Psalter"
            ESamm010, Mäṣḥafä gәṣṣәw, Lectionary for the entire year / Barәkännä ʾәgziʾo… “Bless us, O Lord…”
            ESamm011, Dawit “Psalter”
            ESamm012, Mäṣḥafä qǝddase “Missal”
            ESamm013, Dawit “Psalter”
            ESamq001, ʾArbaʿtu wängel “Four Gospels”
            ESamq002, Täʾamrä Maryam “Miracles of Mary”
            ESamq003, Mäṣḥafä gәbrä ḥǝmamat “Book of the Rite of the Holy Week”
            ESamq004, Mäṣḥafä gǝnzät “Book of the Funeral Ritual”
            ESamq005, Täʾamrä ʾIyäsus “Miracles of Jesus”
            ESamq006, Dǝggwa, Antiphonary / Ṣomä dǝggwa, Antiphonary for Lent
            ESamq007, Gädlä Qirqos “Vita of Cyricus” / Täʾamrä Qirqos “Miracles of Cyricus”
            ESamq008, Haymanotä ʾabäw “Faith of the Fathers” / Mäṣḥafä ṭomar “Book of the Letter (from Heaven)”
